CASRN,SMILES
33089-61-1,CN(\C=N\C1=C(C)C=C(C)C=C1)\C=N\C1=C(C)C=C(C)C=C1
74115-24-5,ClC1=CC=CC=C1C1=NN=C(N=N1)C1=C(Cl)C=CC=C1
3337-71-1,COC(=O)NS(=O)(=O)C1=CC=C(N)C=C1
7440-39-3,[Ba]
43121-43-3,CC(C)(C)C(=O)C(OC1=CC=C(Cl)C=C1)N1C=NC=N1
1861-40-1,CCCCN(CC)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
17804-35-2,CCCCNC(=O)N1C(NC(=O)OC)=NC2=C1C=CC=C2
25057-89-0,CC(C)N1C(=O)C2=C(NS1(=O)=O)C=CC=C2
2008-41-5,CCSC(=O)N(CC(C)C)CC(C)C
55285-14-8,CCCCN(CCCC)SN(C)C(=O)OC1=C2OC(C)(C)CC2=CC=C1
5234-68-4,CC1=C(SCCO1)C(=O)NC1=CC=CC=C1
90982-32-4,CCOC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)NC1=NC(OC)=CC(Cl)=N1
64902-72-3,COC1=NC(C)=NC(NC(=O)NS(=O)(=O)C2=C(Cl)C=CC=C2)=N1
7440-50-8,[Cu]
21725-46-2,CCNC1=NC(NC(C)(C)C#N)=NC(Cl)=N1
68085-85-8,CC1(C)C(\C=C(/Cl)C(F)(F)F)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1
52315-07-8,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1
66215-27-8,NC1=NC(NC2CC2)=NC(N)=N1
1861-32-1,COC(=O)C1=C(Cl)C(Cl)=C(C(=O)OC)C(Cl)=C1Cl
39515-41-8,CC1(C)C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C
1918-00-9,COC1=C(Cl)C=CC(Cl)=C1C(O)=O
94-82-6,OC(=O)CCCOC1=CC=C(Cl)C=C1Cl
35367-38-5,FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=CC=C(Cl)C=C1
55290-64-7,CC1=C(C)S(=O)(=O)CCS1(=O)=O
131-89-5,OC1=C(C=C(C=C1C1CCCCC1)[N+]([O-])=O)[N+]([O-])=O
957-51-7,CN(C)C(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
145-73-3,OC(=O)C1C2CCC(O2)C1C(O)=O
16672-87-0,OP(O)(=O)CCCl
563-12-2,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
759-94-4,CCCN(CCC)C(=O)SCC
101200-48-0,COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)N(C)C1=NC(OC)=NC(C)=N1
22224-92-6,CCOP(=O)(NC(C)C)OC1=CC=C(SC)C(C)=C1
59756-60-4,CN1C=C(C(=O)C(=C1)C1=CC(=CC=C1)C(F)(F)F)C1=CC=CC=C1
56425-91-3,CC(C)C(O)(C1=CC=C(OC(F)(F)F)C=C1)C1=CN=CN=C1
66332-96-5,CC(C)OC1=CC(NC(=O)C2=C(C=CC=C2)C(F)(F)F)=CC=C1
